Tên xe,Thương hiệu,Model,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Số chỗ ngồi,Số cửa,Dẫn động,Giá thành
 Lexus RX 300 F Sport - 2022,Lexus,RX,2022,Xe đã dùng,35000 Km,Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian, 3 Tỷ 299 Triệu 
 VinFast Lux SA 2.0 2.0 AT - 2021,VinFast,Lux SA 2.0,2021,Xe đã dùng,13196 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 735 Triệu 
 Mercedes Benz S class S450 4Matic Luxury - 2022,Mercedes Benz,S class,2022,Xe đã dùng,15000 Km,Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,5 chỗ,4 cửa,AWD - 4 bánh toàn thời gian, 4 Tỷ 699 Triệu 
 Toyota Innova 2.0E - 2018,Toyota,Innova,2018,Xe đã dùng,121000 Km,Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,8 chỗ,5 cửa,RFD - Dẫn động cầu sau, 479 Triệu 
 Toyota Fortuner 2.7V 4x2 AT - 2014,Toyota,Fortuner,2014,Xe đã dùng,120000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.7 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 435 Triệu 
 BMW 4 Series 420i Gran Coupe - 2018,BMW,4 Series,2018,Xe đã dùng,46000 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,5 chỗ,4 cửa,RFD - Dẫn động cầu sau, 1 Tỷ 99 Triệu 
 Mercedes Benz GLC 300 4Matic - 2021,Mercedes Benz,GLC,2021,Xe đã dùng,60000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian, 1 Tỷ 779 Triệu 
 Mitsubishi Xpander 1.5 AT - 2019,Mitsubishi,Xpander,2019,Xe đã dùng,80000 Km,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 495 Triệu 
 VinFast Lux A 2.0 Plus 2.0 AT - 2021,VinFast,Lux A 2.0,2021,Xe đã dùng,34000 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,5 chỗ,4 cửa,RFD - Dẫn động cầu sau, 630 Triệu 
 Chevrolet Cruze LTZ 1.8 AT - 2011,Chevrolet,Cruze,2011,Xe đã dùng,90000 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 198 Triệu 
 Ford Ranger XLS 2.0L 4x4 AT - 2022,Ford,Ranger,2022,Xe đã dùng,40000 Km,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,5 chỗ,4 cửa,4WD - Dẫn động 4 bánh, 699 Triệu 
 Toyota Vios E CVT - 2023,Toyota,Vios,2023,Xe đã dùng,22000 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 459 Triệu 
 Toyota Fortuner 2.4G 4x2 MT - 2019,Toyota,Fortuner,2019,Xe đã dùng,116000 Km,Nhập khẩu,SUV,Số tay,Dầu  2.4 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 735 Triệu 
 Toyota Wigo 1.2 AT - 2020,Toyota,Wigo,2020,Xe đã dùng,17000 Km,Nhập khẩu,Hatchback,Số tự động,Xăng  1.2 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 335 Triệu 
 Toyota Avanza Premio 1.5 AT - 2023,Toyota,Avanza,2023,Xe đã dùng,32000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 525 Triệu 
 Mercedes Benz E class E300 AMG - 2022,Mercedes Benz,E class,2022,Xe đã dùng,8200 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,5 chỗ,4 cửa,RFD - Dẫn động cầu sau, 2 Tỷ 350 Triệu 
 Toyota Veloz Cross 1.5 CVT - 2022,Toyota,Veloz,2022,Xe đã dùng,95000 Km,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 525 Triệu 
 Honda City RS 1.5 AT - 2022,Honda,City,2022,Xe đã dùng,1700 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 535 Triệu 
 Ford EcoSport Titanium 1.5L AT - 2019,Ford,EcoSport,2019,Xe đã dùng,81000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 435 Triệu 
 VinFast Lux SA 2.0 2.0 AT - 2019,VinFast,Lux SA 2.0,2019,Xe đã dùng,67000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 650 Triệu 
 Toyota Wigo 1.2 AT - 2020,Toyota,Wigo,2020,Xe đã dùng,17000 Km,Nhập khẩu,Hatchback,Số tự động,Xăng  1.2 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 335 Triệu 
 Toyota Avanza Premio 1.5 AT - 2023,Toyota,Avanza,2023,Xe đã dùng,32000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 525 Triệu 
 Mercedes Benz E class E300 AMG - 2022,Mercedes Benz,E class,2022,Xe đã dùng,8200 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,5 chỗ,4 cửa,RFD - Dẫn động cầu sau, 2 Tỷ 350 Triệu 
 Toyota Veloz Cross 1.5 CVT - 2022,Toyota,Veloz,2022,Xe đã dùng,95000 Km,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 525 Triệu 
 Honda City RS 1.5 AT - 2022,Honda,City,2022,Xe đã dùng,1700 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 535 Triệu 
 Ford EcoSport Titanium 1.5L AT - 2019,Ford,EcoSport,2019,Xe đã dùng,81000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 435 Triệu 
 VinFast Lux SA 2.0 2.0 AT - 2019,VinFast,Lux SA 2.0,2019,Xe đã dùng,67000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 650 Triệu 
 Toyota Yaris 1.3 AT - 2007,Toyota,Yaris,2007,Xe đã dùng,110000 Km,Nhập khẩu,Hatchback,Số tự động,Xăng  1.3 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 208 Triệu 
 Mitsubishi Outlander 2.0 CVT - 2023,Mitsubishi,Outlander,2023,Xe đã dùng,10000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 760 Triệu 
 Toyota Zace DX - 1999,Toyota,Zace,1999,Xe đã dùng,70000 Km,Lắp ráp trong nước,SUV,Số tay,Xăng  1.8 L,8 chỗ,5 cửa,RFD - Dẫn động cầu sau, 155 Triệu 
 Toyota Fortuner 2.7V 4x2 AT - 2014,Toyota,Fortuner,2014,Xe đã dùng,120000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.7 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 435 Triệu 
 BMW 4 Series 420i Gran Coupe - 2018,BMW,4 Series,2018,Xe đã dùng,46000 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,5 chỗ,4 cửa,RFD - Dẫn động cầu sau, 1 Tỷ 99 Triệu 
 Mercedes Benz GLC 300 4Matic - 2021,Mercedes Benz,GLC,2021,Xe đã dùng,60000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian, 1 Tỷ 779 Triệu 
 Mitsubishi Xpander 1.5 AT - 2019,Mitsubishi,Xpander,2019,Xe đã dùng,80000 Km,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 495 Triệu 
 VinFast Lux A 2.0 Plus 2.0 AT - 2021,VinFast,Lux A 2.0,2021,Xe đã dùng,34000 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,5 chỗ,4 cửa,RFD - Dẫn động cầu sau, 630 Triệu 
 Chevrolet Cruze LTZ 1.8 AT - 2011,Chevrolet,Cruze,2011,Xe đã dùng,90000 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 198 Triệu 
 Toyota Fortuner 2.7V 4x2 AT - 2013,Toyota,Fortuner,2013,Xe đã dùng,130000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.7 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 405 Triệu 
 Mitsubishi Xpander 1.5 AT - 2022,Mitsubishi,Xpander,2022,Xe đã dùng,40000 Km,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 525 Triệu 
 Toyota Camry 2.5Q - 2022,Toyota,Camry,2022,Xe đã dùng,30000 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.5 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 1 Tỷ 230 Triệu 
 Toyota Sienna Limited 3.5 - 2014,Toyota,Sienna,2014,Xe đã dùng,0 Km,Nhập khẩu,Van/Minivan,Số tự động,Xăng  3.5 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 1 Tỷ 520 Triệu 
 VinFast Lux SA 2.0 2.0 AT - 2019,VinFast,Lux SA 2.0,2019,Xe đã dùng,67000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 650 Triệu 
 Toyota Yaris 1.3 AT - 2007,Toyota,Yaris,2007,Xe đã dùng,110000 Km,Nhập khẩu,Hatchback,Số tự động,Xăng  1.3 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 208 Triệu 
 Mitsubishi Outlander 2.0 CVT - 2023,Mitsubishi,Outlander,2023,Xe đã dùng,10000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 760 Triệu 
 Toyota Zace DX - 1999,Toyota,Zace,1999,Xe đã dùng,70000 Km,Lắp ráp trong nước,SUV,Số tay,Xăng  1.8 L,8 chỗ,5 cửa,RFD - Dẫn động cầu sau, 155 Triệu 
 VinFast Fadil 1.4 AT - 2020,VinFast,Fadil,2020,Xe đã dùng,50000 Km,Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.4 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 299 Triệu 
 Nissan Navara VL Premium R - 2018,Nissan,Navara,2018,Xe đã dùng,100000 Km,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.5 L,5 chỗ,4 cửa,4WD - Dẫn động 4 bánh, 499 Triệu 
 Kia Sorento GATH - 2018,Kia,Sorento,2018,Xe đã dùng,82000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 580 Triệu 
 Bentley Flying Spur W12 - 2014,Bentley,Flying Spur,2014,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng  6.0 L,5 chỗ,4 cửa,RFD - Dẫn động cầu sau, 5 Tỷ 900 Triệu 
 Hyundai Tucson 2.0 AT CRDi Đặc biệt - 2023,Hyundai,Tucson,2023,Xe đã dùng,29000 Km,Lắp ráp trong nước,Crossover,Số tự động,Dầu  2.0 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 898 Triệu 
 Kia Morning GT-Line - 2021,Kia,Morning,2021,Xe đã dùng,35000 Km,Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 358 Triệu 
 Toyota Fortuner 2.7V 4x2 AT - 2013,Toyota,Fortuner,2013,Xe đã dùng,130000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.7 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 405 Triệu 
 Mitsubishi Xpander 1.5 AT - 2022,Mitsubishi,Xpander,2022,Xe đã dùng,40000 Km,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 525 Triệu 
 Toyota Camry 2.5Q - 2022,Toyota,Camry,2022,Xe đã dùng,30000 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.5 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 1 Tỷ 230 Triệu 
 Toyota Sienna Limited 3.5 - 2014,Toyota,Sienna,2014,Xe đã dùng,0 Km,Nhập khẩu,Van/Minivan,Số tự động,Xăng  3.5 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 1 Tỷ 520 Triệu 
 Ford Everest Titanium 2.0L 4x2 AT - 2024,Ford,Everest,2024,Xe đã dùng,2000 Km,Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 1 Tỷ 280 Triệu 
 Audi A1 1.4 TFSI - 2010,Audi,A1,2010,Xe đã dùng,120000 Km,Nhập khẩu,Hatchback,Số tự động,Xăng  1.4 L,4 chỗ,3 cửa,FWD - Dẫn động cầu trước, 338 Triệu 
 Ford Ranger Raptor 2.0L 4x4 AT - 2023,Ford,Ranger,2023,Xe đã dùng,30000 Km,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.0 L,5 chỗ,4 cửa,4WD - Dẫn động 4 bánh, 1 Tỷ 199 Triệu 
 Toyota Camry 2.0Q - 2024,Toyota,Camry,2024,Xe đã dùng,11000 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 1 Tỷ 179 Triệu 
 Mercedes Benz S class S450L Luxury - 2018,Mercedes Benz,S class,2018,Xe đã dùng,68000 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  3.0 L,5 chỗ,4 cửa,RFD - Dẫn động cầu sau, 1 Tỷ 389 Triệu 
 Mitsubishi Attrage Premium 1.2 CVT - 2024,Mitsubishi,Attrage,2024,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng  1.2 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 455 Triệu 
 VinFast Lux SA 2.0 2.0 AT - 2019,VinFast,Lux SA 2.0,2019,Xe đã dùng,67000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,7 chỗ,5 cửa,RFD - Dẫn động cầu sau, 650 Triệu 
 Toyota Yaris 1.3 AT - 2007,Toyota,Yaris,2007,Xe đã dùng,110000 Km,Nhập khẩu,Hatchback,Số tự động,Xăng  1.3 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 208 Triệu 
 Mitsubishi Outlander 2.0 CVT - 2023,Mitsubishi,Outlander,2023,Xe đã dùng,10000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 760 Triệu 
 Toyota Zace DX - 1999,Toyota,Zace,1999,Xe đã dùng,70000 Km,Lắp ráp trong nước,SUV,Số tay,Xăng  1.8 L,8 chỗ,5 cửa,RFD - Dẫn động cầu sau, 155 Triệu 
 VinFast Fadil 1.4 AT - 2020,VinFast,Fadil,2020,Xe đã dùng,50000 Km,Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.4 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 299 Triệu 
 Nissan Navara VL Premium R - 2018,Nissan,Navara,2018,Xe đã dùng,100000 Km,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.5 L,5 chỗ,4 cửa,4WD - Dẫn động 4 bánh, 499 Triệu 
 Kia Sorento GATH - 2018,Kia,Sorento,2018,Xe đã dùng,82000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 580 Triệu 
 Bentley Flying Spur W12 - 2014,Bentley,Flying Spur,2014,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng  6.0 L,5 chỗ,4 cửa,RFD - Dẫn động cầu sau, 5 Tỷ 900 Triệu 
